"decimalLatitude","decimalLongitude","value"
50.87673,3.21099,1
-43.51294,172.69918,1
52.24826,-6.99413,1
51.95059,-8.00727,1
45.13749,10.43834,1
52.56565,-6.20892,1
51.91193,-8.06249,1
54.68383,-8.05734,1
53.24391,-7.51698,1
51.85907,-8.53051,1
53.28486,-6.13774,1
51.94067,-8.09306,1
52.50464,-6.73939,1
51.87724,-8.48716,1
52.45171,-9.06933,1
51.9613,-8.48007,1
52.32139,-6.79081,1
53.00755,-6.105,1
52.5062,-7.23714,1
52.24555,-6.99272,1
52.54501,-6.73234,1
52.18977,-6.98521,1
51.86819,-8.50158,1
51.86842,-8.44352,1
52.54473,-7.09349,1
53.18187,-6.10331,1
52.24641,-6.99247,1
52.25112,-6.99792,1
45.21511,8.20962,1
53.12467,-9.66632,1
51.43814,-9.50483,1
41.98275,12.68912,1
47.21866,8.68093,1
44.63458,-63.59289,1
50.92295,5.38591,1
50.93156,5.42878,1
50.93182,5.40033,1
50.9408,5.40053,1
50.86852,5.44155,1
50.94042,5.44321,1
50.96144,5.03088,1
50.93143,5.443,1
50.94029,5.45743,1
50.9313,5.45722,1
52.33002,6.95607,1
50.94307,3.63622,1
50.9427,3.57931,1
52.32388,6.95024,1
50.95206,3.63608,1
50.93399,3.62214,1
52.32726,6.94984,1
52.32978,6.96113,1
52.32852,6.96237,1
52.87315,5.9972,1
51.06914,5.06095,1
50.96777,5.40113,1
51.07813,5.06109,1
52.05071,4.21698,1
51.02131,5.44508,1
51.06015,5.06082,1
50.97097,3.80663,1
54.19673,-6.37279,1
50.71823,5.11241,1
52.87598,5.99619,1
50.99891,4.07696,1
51.04185,3.62041,1
52.3658,6.89218,1
51.06879,5.11802,1
-43.56456,172.63249,1
51.0687,5.13228,1
51.05971,5.13214,1
51.07805,5.07536,1
52.98821,6.28264,1
50.92135,5.55655,1
50.76311,3.61068,1
51.23648,5.50737,1
52.99434,6.29275,1
51.06906,5.07522,1
50.94298,3.62199,1
53.25727,-9.12377,1
51.1424,3.96174,1
51.05151,3.73435,1
50.91222,5.57054,1
51.02144,5.43083,1
50.92715,4.14852,1
51.21865,5.49262,1
51.93018,4.52602,1
50.84142,5.45513,1
51.17,4.49053,1
51.22763,5.49284,1
50.84129,5.46933,1
51.05981,5.11787,1
50.97097,3.80663,1
50.92718,4.16274,1
52.51007,6.09859,1
52.86985,6.01033,1
53.25719,-9.13276,1
50.80832,3.65251,1
51.00817,4.21938,1
51.21851,5.50693,1
52.52198,6.13591,1
51.2275,5.50715,1
51.07769,5.13243,1
52.13903,6.10947,1
51.00616,3.66373,1
51.184,3.38927,1
50.94341,3.69313,1
50.79674,5.42572,1
52.08908,4.32897,1
53.03895,6.09295,1
53.49406,-6.92871,1
51.16843,3.74705,1
52.10765,4.35534,1
52.05217,4.2252,1
52.21701,4.70465,1
50.77926,5.36861,1
54.97847,-7.33934,1
52.13588,6.12078,1
51.18411,3.40357,1
50.87323,4.57499,1
52.10841,6.28232,1
50.97967,3.74956,1
52.13713,6.10555,1
51.78773,4.01842,1
52.99039,6.59596,1
52.36485,6.96556,1
51.17742,3.74693,1
51.12247,3.57626,1
51.05305,4.17645,1
50.8242,5.36957,1
51.73909,5.90531,1
51.80845,3.91126,1
50.80573,5.42593,1
51.17881,2.8888,1
52.12671,4.32007,1
52.58863,-7.20029,1
50.84206,5.38415,1
52.15514,6.07418,1
52.15514,6.07418,1
51.69141,6.02305,1
51.80543,3.91292,1
51.80838,3.9169,1
50.86158,5.18571,1
52.08119,23.7309,1
52.12646,4.38913,1
50.83651,3.89342,1
52.13851,6.11021,1
51.21072,3.36008,1
51.78066,4.57706,1
50.89754,5.18634,1
53.03895,6.09295,1
52.30519,4.5736,1
50.78153,3.68128,1
50.89044,3.89287,1
50.93614,4.14848,1
50.93617,4.1627,1
50.82746,3.87931,1
52.11378,4.30401,1
52.13013,4.38758,1
52.37847,6.97832,1
50.92853,5.84401,1
52.26465,4.45117,1
51.90197,5.11217,1
52.23425,-7.14991,1
51.16648,3.44683,1
50.9589,5.3867,1
51.9157,4.08396,1
51.73798,5.90632,1
51.05305,4.17645,1
51.86417,5.0549,1
50.89795,3.6085,1
52.12414,4.31834,1
51.89171,4.06737,1
50.78161,3.69546,1
51.12217,3.53341,1
51.75572,4.72481,1
51.90014,5.1157,1
52.2738,5.73276,1
52.13588,6.12078,1
52.13713,6.10555,1
50.95285,3.77838,1
51.01429,5.20264,1
52.3728,6.98575,1
51.90216,4.18936,1
51.86328,4.05962,1
51.80566,3.91367,1
52.13986,4.34103,1
52.3728,6.98575,1
