"decimalLatitude","decimalLongitude","value"
45.4461,-75.65305,1
41.83432,-87.82813,1
44.26946,-72.56242,1
44.51385,-73.23765,1
44.50697,-73.23939,1
44.26145,-72.55344,1
44.51114,-73.23964,1
44.26253,-72.55393,1
41.87129,-88.12383,1
42.06631,-87.7755,1
40.76842,-74.90083,1
40.84713,-74.35574,1
42.79396,-73.77192,1
40.60738,-80.15488,1
45.35479,-75.67405,1
42.29098,-83.00234,1
42.36471,-71.26095,1
42.29098,-83.00234,1
40.57071,-74.76251,1
45.35539,-76.00827,1
43.50009,-72.36666,1
44.25728,-72.58761,1
46.19824,-91.1031,1
33.69085,-86.71014,1
40.86068,-73.95545,1
44.40201,-70.86118,1
41.56021,-81.53259,1
44.40201,-70.86118,1
44.27299,-72.58078,1
39.89226,-75.5745,1
41.26038,-73.45035,1
44.13531,-73.09399,1
41.4261,-72.9928,1
44.36168,-68.20696,1
43.63739,-72.54231,1
41.26471,-72.73493,1
41.19153,-81.55097,1
44.26263,-72.56019,1
35.35168,-83.86203,1
44.13536,-73.09682,1
42.14914,-87.78608,1
44.36192,-68.20857,1
44.46358,-73.1791,1
45.54102,-73.15887,1
42.82588,-78.62941,1
38.79731,-78.3149,1
43.80143,-72.25288,1
39.22679,-76.74527,1
45.44701,-75.65228,1
41.38711,-81.63026,1
45.44738,-75.65229,1
44.27656,-72.5788,1
43.25375,-72.58126,1
45.3206,-75.7379,1
35.02513,-83.14771,1
41.19016,-81.58417,1
38.99965,-77.24865,1
40.70552,-74.05608,1
44.00333,-73.05947,1
40.70552,-74.05622,1
40.70689,-74.0542,1
44.93414,-73.0535,1
40.70689,-74.0542,1
44.00672,-73.05908,1
41.69291,-73.16382,1
40.70542,-74.05623,1
44.16555,-73.14166,1
47.52138,-64.98389,1
40.70631,-74.05584,1
43.10266,-71.66948,1
38.87903,-77.09281,1
41.72343,-72.57241,1
46.56845,-92.02792,1
44.28566,-72.44141,1
44.00537,-73.05893,1
35.71964,-79.44855,1
44.79845,-91.50402,1
46.41561,-63.07339,1
44.28451,-72.568,1
43.6506,-79.46266,1
43.45526,-72.42827,1
36.06815,-78.92196,1
40.70682,-74.05429,1
44.00798,-73.07483,1
44.72714,-72.1543,1
34.96244,-85.3783,1
40.70682,-74.05429,1
35.84308,-79.01475,1
43.80273,-72.24969,1
46.05727,-81.35676,1
40.70683,-74.05425,1
41.41612,-72.90365,1
40.70684,-74.05423,1
43.70348,-72.32899,1
34.96135,-85.38059,1
44.53495,-73.27526,1
40.6752,-77.73171,1
38.96744,-94.83907,1
44.5052,-68.80775,1
40.5527,-74.11215,1
39.26729,-76.79905,1
39.66628,-78.96895,1
39.6649,-78.97419,1
43.686,-72.31074,1
39.66439,-78.97374,1
39.68585,-78.00105,1
42.93158,-72.28814,1
43.95419,-70.88326,1
39.66796,-78.9678,1
42.44188,-71.14572,1
42.39766,-71.08327,1
44.05528,-70.71189,1
44.33489,-72.68966,1
39.48424,-79.09652,1
39.65563,-79.78671,1
44.76735,-71.70253,1
43.70076,-72.33421,1
39.63323,-77.45327,1
44.04668,-70.70573,1
39.49462,-79.13688,1
39.32267,-78.79809,1
39.65397,-78.25777,1
39.48371,-79.10501,1
39.38811,-79.40226,1
44.97171,-73.20745,1
39.5517,-79.22374,1
39.49484,-79.13715,1
39.21991,-79.46207,1
39.25755,-79.41515,1
52.56112,13.40038,1
39.66868,-79.39928,1
39.6586,-78.97624,1
39.62589,-77.44098,1
42.20829,-71.13415,1
39.63261,-77.4472,1
39.5552,-79.45171,1
44.25548,-72.58056,1
39.66113,-78.97436,1
48.16705,-90.87886,1
39.19385,-79.51802,1
44.3286,-72.68654,1
48.54701,9.08032,1
39.48184,-79.09109,1
39.64173,-78.94143,1
44.56049,-79.57316,1
44.45947,-67.93366,1
39.55664,-79.4497,1
39.21891,-79.46551,1
45.95875,-66.66535,1
39.55606,-79.4506,1
39.33072,-77.73508,1
43.68776,-72.33405,1
41.48214,-81.93501,1
44.00296,-71.27776,1
39.65763,-78.97731,1
39.55517,-79.45143,1
39.64623,-78.93914,1
39.6222,-77.43856,1
44.07376,-71.30438,1
33.79019,-86.77337,1
43.71416,-72.34547,1
39.66869,-79.39942,1
38.76293,-76.7228,1
41.71886,-80.93241,1
39.27679,-77.39961,1
44.63638,-63.59419,1
38.26886,-76.52759,1
38.76684,-76.72047,1
44.63698,-63.59409,1
44.52635,-73.27124,1
44.52325,-73.27091,1
38.95063,-77.04602,1
39.2768,-77.39917,1
41.82747,-88.14237,1
50.92295,5.38591,1
50.9408,5.40053,1
50.86852,5.44155,1
50.94042,5.44321,1
44.31336,-72.70611,1
50.93182,5.40033,1
43.6969,-73.22064,1
50.93156,5.42878,1
43.60772,-72.94626,1
44.44977,-73.0355,1
40.47458,-74.41914,1
40.47512,-74.43818,1
50.95206,3.63608,1
50.94307,3.63622,1
40.9989,-81.97936,1
50.93399,3.62214,1
40.4735,-74.4226,1
51.06879,5.11802,1
51.00817,4.21938,1
50.94298,3.62199,1
51.17,4.49053,1
51.07769,5.13243,1
51.07805,5.07536,1
44.55617,-73.11839,1
50.97097,3.80663,1
51.02131,5.44508,1
51.23648,5.50737,1
51.0687,5.13228,1
51.05981,5.11787,1
50.97097,3.80663,1
51.07813,5.06109,1
50.92718,4.16274,1
51.21851,5.50693,1
50.92715,4.14852,1
51.06015,5.06082,1
51.06914,5.06095,1
51.21865,5.49262,1
51.2275,5.50715,1
51.02144,5.43083,1
51.22763,5.49284,1
51.06906,5.07522,1
43.62815,-73.23491,1
43.56497,-72.3832,1
50.80573,5.42593,1
44.14156,-72.66031,1
51.18411,3.40357,1
39.26626,-76.68177,1
50.77926,5.36861,1
43.5794,-72.92682,1
44.27725,-72.4262,1
50.94341,3.69313,1
51.17742,3.74693,1
51.184,3.38927,1
51.16648,3.44683,1
52.1293,4.38971,1
50.93614,4.14848,1
50.93617,4.1627,1
50.9589,5.3867,1
44.3222,-72.49898,1
51.21072,3.36008,1
50.89044,3.89287,1
51.00616,3.66373,1
44.8768,-73.3017,1
50.92699,4.66057,1
43.73489,-73.29254,1
43.38907,-72.40716,1
50.89754,5.18634,1
43.56498,-72.38318,1
50.78161,3.69546,1
43.62141,-73.15581,1
52.13588,6.12078,1
42.60983,-73.88995,1
44.13737,-72.66263,1
36.01326,-78.97248,1
52.13713,6.10555,1
52.09198,4.33657,1
50.97967,3.74956,1
50.8051,3.24113,1
50.86437,4.24825,1
43.48846,-73.03104,1
44.08194,-69.62392,1
44.09592,-69.62419,1
51.0518,3.79139,1
50.78957,5.19864,1
44.3396,-68.17772,1
46.01518,-81.39978,1
44.45428,-76.45618,1
44.4066,-72.46931,1
50.85538,4.24827,1
44.90731,-85.93015,1
51.09027,5.73218,1
50.8563,2.98423,1
44.03089,-73.08829,1
50.75428,5.09881,1
52.3071,6.99393,1
43.58857,-72.90927,1
50.93076,5.51411,1
43.70679,-73.06865,1
35.68722,-83.50016,1
51.02144,5.43083,1
43.73309,-73.04398,1
51.0901,5.74646,1
44.53641,-76.5808,1
50.83782,2.94218,1
51.8109,3.91792,1
43.64713,-72.95038,1
43.95173,-79.41486,1
50.97439,5.64334,1
44.29795,-72.36798,1
43.4615,-72.4542,1
44.86117,-73.28829,1
51.25991,4.46212,1
43.8817,-72.37112,1
50.92929,5.65634,1
50.93614,4.14848,1
43.31468,-72.99131,1
51.15535,3.20405,1
52.00883,5.73479,1
51.25015,4.80585,1
43.64812,-72.95691,1
51.18566,3.61809,1
51.33104,4.80662,1
51.2328,4.16139,1
51.19638,3.97558,1
43.5162,-72.96574,1
44.50278,-73.14041,1
43.65097,-72.95061,1
43.51711,-73.24649,1
45.96643,-60.45907,1
43.48864,-73.02733,1
51.17333,3.20359,1
51.31387,4.4192,1
50.79876,5.17043,1
41.80988,-72.25944,1
52.00883,5.73479,1
51.02157,5.41658,1
44.35198,-73.00643,1
40.70391,-74.05664,1
51.06667,3.33467,1
47.35508,-91.27879,1
44.70905,-93.34056,1
51.20537,3.9755,1
45.44645,-75.65238,1
44.22926,-69.04334,1
51.37537,4.95067,1
51.38429,4.96515,1
40.70258,-74.05652,1
46.78213,-71.2562,1
52.02273,5.73436,1
51.54894,5.3348,1
51.18794,4.51919,1
40.70182,-74.05511,1
40.70082,-74.05346,1
43.62872,-73.00389,1
51.10954,3.11951,1
44.4471,-68.78314,1
44.30713,-72.52141,1
40.70184,-74.05501,1
51.50463,4.48044,1
52.26082,4.54159,1
51.58633,6.02317,1
50.92718,4.16274,1
44.59597,-68.68078,1
44.22926,-69.04334,1
43.66446,-73.23164,1
40.70079,-74.05352,1
51.5507,5.33458,1
51.58633,6.02317,1
40.70203,-74.05565,1
40.70258,-74.05656,1
43.61785,-72.99507,1
40.70169,-74.05475,1
40.70083,-74.05352,1
40.70234,-74.05585,1
51.50776,4.47865,1
45.60474,-64.98543,1
42.37089,-71.14578,1
51.47716,4.38583,1
44.37678,-64.86666,1
40.70082,-74.05347,1
51.47689,4.38555,1
40.70214,-74.05567,1
51.28683,4.50518,1
52.75506,6.65183,1
40.7005,-74.054,1
51.58188,4.69575,1
51.55074,5.33393,1
52.02273,5.73436,1
51.18641,3.74681,1
51.56422,5.33507,1
51.35881,4.33311,1
40.70231,-74.05595,1
41.41462,-73.95854,1
44.13886,-73.22688,1
51.55074,5.33393,1
42.81103,-72.56494,1
44.95239,-72.88341,1
46.6527,-60.94503,1
44.25793,-72.58413,1
44.95239,-72.88341,1
41.03085,-73.79975,1
41.12866,-81.6852,1
52.96133,6.25508,1
41.19636,-81.49269,1
41.27418,-81.71155,1
43.47129,-73.20287,1
43.30364,-70.65703,1
44.57882,-73.18175,1
44.33531,-69.1771,1
52.82105,6.43714,1
44.13876,-73.0684,1
40.47898,-74.43564,1
41.106,-81.51214,1
43.65825,-73.22591,1
52.79182,6.43459,1
51.3932,4.97964,1
50.93617,4.1627,1
44.02325,-72.17451,1
44.14065,-73.06814,1
44.58819,-73.18785,1
41.26281,-81.24194,1
44.61319,-73.21354,1
40.478,-74.43294,1
44.54907,-73.00794,1
43.4687,-73.19157,1
50.87776,5.41335,1
40.51554,-74.44025,1
45.22135,8.277,1
40.48493,-74.43706,1
44.25842,-72.56393,1
43.64732,-72.95428,1
43.64645,-72.95813,1
44.26483,-72.57495,1
44.60189,-79.48288,1
43.69404,-73.22201,1
43.6949,-73.2198,1
44.26114,-72.55889,1
43.78467,-72.47008,1
43.76116,-72.45993,1
43.66803,-73.20023,1
43.66803,-73.20023,1
44.28001,-72.56247,1
43.6333,-72.52325,1
37.54404,-84.90082,1
44.27533,-72.56509,1
44.26702,-72.57317,1
43.78424,-72.43881,1
50.80593,5.74376,1
42.31417,-71.0378,1
41.70125,-72.47934,1
